exercise_name,muscle_trained,isBodyweight,id,isIsometric,isBandAssisted,muscle_group,how_to,yt_link,isCardio
Flat Barbell Bench Press,Mid Chest,false,550e8400-e29b-41d4-a716-446655440001,false,false,Chest,Lie on a bench and press the barbell upwards from chest level.,https://www.youtube.com/watch?v=rT7DgCr-3ps,false
Incline Dumbbell Press,Upper Pectoralis,false,550e8400-e29b-41d4-a716-446655440002,false,false,Chest,Press dumbbells on a 30-45 degree inclined bench.,https://www.youtube.com/watch?v=8iPEnn-ltC8,false
Lateral Raises,Lateral Deltoid,false,550e8400-e29b-41d4-a716-446655440003,false,false,Shoulders,Raise dumbbells to your sides until parallel to the floor.,https://www.youtube.com/watch?v=3VcKaXpzqRo,false
Face Pulls,Posterior Deltoid,false,550e8400-e29b-41d4-a716-446655440004,false,false,Shoulders,Pull cable towards your face while flaring elbows.,https://www.youtube.com/watch?v=rep-qVOkqgk,false
Barbell Squat,Quads,false,550e8400-e29b-41d4-a716-446655440005,false,false,Quads,Squat down with a barbell on your upper back.,https://www.youtube.com/watch?v=SW_C1A-rejs,false
Romanian Deadlift,Hamstrings,false,550e8400-e29b-41d4-a716-446655440006,false,false,Hamstrings,Hinge at the hips while keeping legs relatively straight.,https://www.youtube.com/watch?v=JCXUYuzwvgM,false
Pull-ups,Lats,true,550e8400-e29b-41d4-a716-446655440007,false,false,Lats,Pull your chest up to the bar using an overhand grip.,https://www.youtube.com/watch?v=eGo4IYlbE5g,false
Planche Hold,Anterior Deltoid,true,550e8400-e29b-41d4-a716-446655440008,true,false,Shoulders,Leaning forward while supporting body weight on hands.,https://www.youtube.com/watch?v=Yf9SHeT1eZ0,false
Front Lever Hold,Lats,true,550e8400-e29b-41d4-a716-446655440009,true,false,Lats,Hold your body horizontal while hanging from a bar.,https://www.youtube.com/watch?v=tiST0765Sfo,false
Barbell Bicep Curls,Biceps,false,550e8400-e29b-41d4-a716-446655440010,false,false,Biceps,Curl the barbell towards your shoulders.,https://www.youtube.com/watch?v=in7P7ZatZ8c,false
Incline Dumbbell Curls,Long Head Bicep,false,550e8400-e29b-41d4-a716-446655440011,false,false,Biceps,Curl dumbbells while lying on an inclined bench.,https://www.youtube.com/watch?v=soxrZlIl35U,false
Triceps Pushdown,Lateral Head Triceps,false,550e8400-e29b-41d4-a716-446655440012,false,false,Triceps,Push the cable bar down until arms are straight.,https://www.youtube.com/watch?v=2-LAMcpzODU,false
Overhead Triceps Extension,Long Head Tricep,false,550e8400-e29b-41d4-a716-446655440013,false,false,Triceps,Extend dumbbells overhead from behind your neck.,https://www.youtube.com/watch?v=_S09SInS_60,false
Dips,Chest,true,550e8400-e29b-41d4-a716-446655440014,false,false,Chest,Lower your body between parallel bars and push up.,https://www.youtube.com/watch?v=yN6Q1UI_xkE,false
Barbell Shrugs,Upper Traps,false,550e8400-e29b-41d4-a716-446655440015,false,false,Traps,Elevate your shoulders while holding a barbell.,https://www.youtube.com/watch?v=cJRVVxmytaM,false
Seated Cable Rows,Traps (mid-back),false,550e8400-e29b-41d4-a716-446655440016,false,false,Traps,Pull cable handle towards your abdomen while seated.,https://www.youtube.com/watch?v=GZbfZ033f74,false
Standing Calf Raises,Calves,false,550e8400-e29b-41d4-a716-446655440017,false,false,Calves,Raise your heels while standing on a platform.,https://www.youtube.com/watch?v=YMmgqO8Jo-k,false
Band Assisted Pull-ups,Lats,true,550e8400-e29b-41d4-a716-446655440018,false,true,Lats,Perform pull-ups using a resistance band for help.,https://www.youtube.com/watch?v=8p_9H1pP-vA,false
L-Sit Hold,Abdominals,true,550e8400-e29b-41d4-a716-446655440019,true,false,Abdominals,Support yourself on hands with legs straight out.,https://www.youtube.com/watch?v=XhYlZqFh8yY,false
Handstand Push-ups,Shoulders,true,550e8400-e29b-41d4-a716-446655440020,false,false,Shoulders,Perform push-ups while in a handstand position.,https://www.youtube.com/watch?v=hZIn2VRA7m0,false
Leg Extensions,Rectus Femoris,false,550e8400-e29b-41d4-a716-446655440021,false,false,Quads,Extend your legs against the machine resistance.,https://www.youtube.com/watch?v=YyvSfVLYd80,false
Hammer Curls,Forearms,false,550e8400-e29b-41d4-a716-446655440022,false,false,Forearms,Curl dumbbells with a neutral/vertical grip.,https://www.youtube.com/watch?v=7jqi2qWAUzQ,false
Hip Thrusts,Gluteus Maximus,false,550e8400-e29b-41d4-a716-446655440023,false,false,Glutes,Drive hips upward with a barbell across your lap.,https://www.youtube.com/watch?v=LM8LGne_78I,false
Leg Curls,Hamstrings,false,550e8400-e29b-41d4-a716-446655440024,false,false,Hamstrings,Curl your legs towards your glutes on a machine.,https://www.youtube.com/watch?v=1Tq3QdYUuHs,false
Deadlift,Lower back,false,550e8400-e29b-41d4-a716-446655440025,false,false,Lower back,Lift a loaded barbell from the ground to hip height.,https://www.youtube.com/watch?v=op9kVnSso6Q,false
Arnold Press,Anterior Deltoid,false,550e8400-e29b-41d4-a716-446655440026,false,false,Shoulders,Shoulder press with dumbbells while rotating wrists.,https://www.youtube.com/watch?v=6vJJy9E_vIs,false
Bulgarian Split Squat,Quads & Glutes,false,550e8400-e29b-41d4-a716-446655440027,false,false,Quads,One-legged squat with rear foot elevated on a bench.,https://www.youtube.com/watch?v=2C-uNgKwPLE,false
Diamond Push-ups,Triceps,true,550e8400-e29b-41d4-a716-446655440028,false,false,Triceps,Push-ups with hands touching to form a diamond shape.,https://www.youtube.com/watch?v=XtMxG_F6G7A,false
T-Bar Row,Mid Back,false,550e8400-e29b-41d4-a716-446655440029,false,false,Traps,Pull a weighted bar towards your chest using handles.,https://www.youtube.com/watch?v=j3Igk5nyZE4,false
Jump Rope,Cardiovascular System,true,550e8400-e29b-41d4-a716-446655440030,false,false,Full Body,Continuous jumping over a rope at high speed.,https://www.youtube.com/watch?v=u3zgHI8Qnq8,true
